Nome Fantasia,Nome do arquivo
Volkswagen,Volkswagen.png
Volvo,Volvo.png
Vorbe Engenharia,Vorbe_Engenharia.png
Votorantim,Votorantim.png
Votorantim Cimentos,Votorantim_Cimentos.png
VP,VP.png
VSM Industrial,VSM_Industrial.png
Vulkan,Vulkan.png
WABCO,WABCO.png
WB Manutenção,WB_Manutencao.png
WEG,WEG.png
WEG Jaraguá do Sul,WEG_Jaragua_do_Sul.png
WestRock,WestRock.png
Whirlpool,Whirlpool.png
White Martins,White_Martins.png
Wickbold,Wickbold.png
Wilson Sons,Wilson_Sons.png
Wipro,Wipro.png
Wirex Cable,Wirex_Cable.png
WMartins,WMartins.png
Woobo,Woobo.png
World Fix,World_Fix.png
WWGF Refrigeração,WWGF_Refrigeracao.png
XYPD Embalagens,XYPD_Embalagens.png
Yamaha,Yamaha.png
Yara Fertilizantes,Yara_Fertilizantes.png
Ypê,Ype.png
Zanarotti Projetos,Zanarotti_Projetos.png
Zanini Renk,Zanini_Renk.png
Zanotti,Zanotti.png
Zaraplast,Zaraplast.png
ZBN Fundição,ZBN_Fundicao.png
Zee-Dog,Zee_Dog.png
Zemar,Zemar.png
Zettatecck,Zettatecck.png
ZF,ZF.png
Ôhmica Engenharia,Ohmica_Engenharia.png
